date,action,buy_period,buy_thr,sell_period,sell_thr,rsi_low_at_d,rsi_high_at_d,rsi_close_at_d,condition_met,price,mode,reason,low_price,high_price
2013-09-24 00:00:00,BUY,2,20.0,2,50.0,17.56759941,74.1194264012,65.2628369144,Yes,0.90858349205,NO_SOLUTION,,0.894167006,0.9229999781
2013-09-25 00:00:00,SELL,2,20.0,2,50.0,32.8978196682,83.3003242166,69.7873433211,Yes,0.9130834937000001,NO_SOLUTION,,0.8970000148,0.9291669726
2013-09-30 00:00:00,BUY,2,20.0,2,50.0,3.0115457967,46.6462688129,21.9138791204,Yes,0.87716650965,NO_SOLUTION,,0.8535000086,0.9008330107
2013-10-02 00:00:00,SELL,2,20.0,2,50.0,33.5477152665,73.1655518496,73.1655518496,Yes,0.90549999475,NO_SOLUTION,,0.8955000043,0.9154999852
2013-10-09 00:00:00,BUY,2,20.0,2,50.0,4.3026052283,29.4277349535,7.3396507605,Yes,0.85541650655,NO_SOLUTION,,0.831833005,0.8790000081
2013-10-11 00:00:00,SELL,2,20.0,2,50.0,51.1999071981,82.9003869454,80.6313604568,Yes,0.8991670012,FAST_LOW,,0.8991670012,0.9333329797
2013-11-08 00:00:00,BUY,2,20.0,2,50.0,7.4965510359,53.8365923237,53.100593394,Yes,0.9202499986,NO_SOLUTION,,0.8999999762,0.940500021
2013-11-11 00:00:00,SELL,2,20.0,2,50.0,34.0827489802,56.1317441403,51.9948369852,Yes,0.9318335056,NO_SOLUTION,,0.9219999909,0.9416670203
2013-11-20 00:00:00,BUY,2,20.0,2,50.0,7.2031284985,36.4840552657,8.4112932049,Yes,0.9208334982499999,NO_SOLUTION,,0.9051669836,0.9365000129
2013-11-22 00:00:00,SELL,2,20.0,2,50.0,53.1503654325,76.1698827204,73.7714094835,Yes,0.948167026,FAST_LOW,,0.948167026,0.9661669731
2013-12-12 00:00:00,BUY,2,20.0,2,50.0,6.9283043945,27.8442788813,7.4779992538,Yes,0.98558351395,NO_SOLUTION,,0.9695000052,1.0016670227
2013-12-17 00:00:00,SELL,2,20.0,2,50.0,75.019669601,89.8000208862,88.5374930588,Yes,1.0069999695,FAST_LOW,,1.0069999695,1.0455000401
2014-01-27 00:00:00,BUY,2,20.0,2,50.0,6.9627540131,28.597506214,8.6962721854,Yes,1.0861665010500001,NO_SOLUTION,,1.0585000515,1.1138329506
2014-01-31 00:00:00,SELL,2,20.0,2,50.0,29.5695698801,70.1486226835,47.1448196893,Yes,1.09450000525,NO_SOLUTION,,1.0720000267,1.1169999838
2014-02-04 00:00:00,BUY,2,20.0,2,50.0,9.2333849204,26.1445974075,15.2579919514,Yes,1.0282500386,NO_SOLUTION,,1.0161670446,1.0403330326
2014-02-07 00:00:00,SELL,2,20.0,2,50.0,85.0524572731,94.1114241952,93.8902267387,Yes,1.0893330574,FAST_LOW,,1.0893330574,1.1423330307
2014-03-12 00:00:00,BUY,2,20.0,2,50.0,7.248266069,72.5390626601,72.5390626601,Yes,1.3850834966,NO_SOLUTION,,1.3535000086,1.4166669846
2014-03-13 00:00:00,SELL,2,20.0,2,50.0,15.9096903507,84.8868094241,19.6489453427,Yes,1.3805834651,NO_SOLUTION,,1.3229999542,1.438166976
2014-03-14 00:00:00,BUY,2,20.0,2,50.0,13.1511676556,36.0942576173,13.6528800386,Yes,1.34008300305,NO_SOLUTION,,1.3218330145,1.3583329916
2014-03-18 00:00:00,SELL,2,20.0,2,50.0,62.3864517325,85.189698948,84.867883034,Yes,1.371333003,FAST_LOW,,1.371333003,1.432667017
2014-04-07 00:00:00,BUY,2,20.0,2,50.0,6.5885485742,32.3976516898,8.0656426656,Yes,1.4147499799499998,NO_SOLUTION,,1.3703329563,1.4591670036
2014-04-09 00:00:00,SELL,2,20.0,2,50.0,52.5314409471,74.8538595409,73.7034346456,Yes,1.4500000477,FAST_LOW,,1.4500000477,1.5001670122
2014-04-11 00:00:00,BUY,2,20.0,2,50.0,11.0729541424,28.2648956675,11.8030188205,Yes,1.32550001145,NO_SOLUTION,,1.2823330164,1.3686670065
2014-04-16 00:00:00,SELL,2,20.0,2,50.0,22.4780124275,74.3030244188,48.1725534008,Yes,1.33216696975,NO_SOLUTION,,1.2866669893,1.3776669502
2014-04-28 00:00:00,BUY,2,20.0,2,50.0,6.7215649348,38.0458852173,9.9422305943,Yes,1.34808301925,NO_SOLUTION,,1.2918330431,1.4043329954
2014-05-01 00:00:00,SELL,2,20.0,2,50.0,38.9622619539,82.817596596,44.8318882481,Yes,1.405583024,NO_SOLUTION,,1.3758330345,1.4353330135
2014-05-16 00:00:00,BUY,2,20.0,2,50.0,10.4771003853,57.4785009884,54.1801973547,Yes,1.37800002095,NO_SOLUTION,,1.3515000343,1.4045000076
2014-05-19 00:00:00,SELL,2,20.0,2,50.0,48.2321547225,80.456470971,77.8651408975,Yes,1.4235829711,NO_SOLUTION,,1.3928329945,1.4543329477
2014-06-25 00:00:00,BUY,2,20.0,2,50.0,5.1277734793,52.641207826,46.4702258055,Yes,1.81658297775,NO_SOLUTION,,1.7843329906,1.8488329649
2014-07-01 00:00:00,SELL,2,20.0,2,50.0,90.8732207889,96.7168678484,95.9759257159,Yes,1.8983329535,FAST_LOW,,1.8983329535,1.9881670475
2014-07-24 00:00:00,BUY,2,20.0,2,50.0,11.8583063533,20.6590437069,12.3859867108,Yes,1.83891701695,NO_SOLUTION,,1.8111670017,1.8666670322
2014-08-05 00:00:00,SELL,2,20.0,2,50.0,18.2587854926,58.2395853163,22.8292013634,Yes,1.6373335123000001,NO_SOLUTION,,1.6000000238,1.6746670008
2014-09-15 00:00:00,BUY,2,20.0,2,50.0,4.3161100631,32.3259605026,4.3897986185,Yes,1.884916544,NO_SOLUTION,,1.8415000439,1.9283330441
2014-09-17 00:00:00,SELL,2,20.0,2,50.0,66.844919033,81.8908606351,77.2267758719,Yes,1.9464999437,FAST_LOW,,1.9464999437,2.0166668892
2014-10-02 00:00:00,BUY,2,20.0,2,50.0,2.9103691859,6.321546984,5.2117322557,Yes,1.7483329773,FAST_HIGH,,1.6318329573,1.7483329773
2014-10-09 00:00:00,SELL,2,20.0,2,50.0,23.915377558,59.4499508511,24.3919530407,Yes,1.64783352615,NO_SOLUTION,,1.5789999962,1.7166670561
2014-10-13 00:00:00,BUY,2,20.0,2,50.0,4.5642162274,22.8110474475,4.5642162274,Yes,1.2384170293999999,NO_SOLUTION,,1.174167037,1.3026670218
2014-10-17 00:00:00,SELL,2,20.0,2,50.0,78.313370719,88.4996793333,80.1109864606,Yes,1.3358329535,FAST_LOW,,1.3358329535,1.4093329906
2014-12-15 00:00:00,BUY,2,20.0,2,50.0,5.8832136146,57.46769647,6.6830126511,Yes,2.11900007725,NO_SOLUTION,,2.0333330631,2.2046670914
2014-12-18 00:00:00,SELL,2,20.0,2,50.0,82.3783453827,87.8218449142,87.8218449142,Yes,2.2016670704,FAST_LOW,,2.2016670704,2.2666668892
2014-12-31 00:00:00,BUY,2,20.0,2,50.0,5.186550156,69.6375025786,5.2792356734,Yes,2.29649996755,NO_SOLUTION,,2.2456669807,2.3473329544
2015-01-09 00:00:00,SELL,2,20.0,2,50.0,49.6155751392,83.8281369085,80.5365451976,Yes,2.19500005245,NO_SOLUTION,,2.1375000477,2.2525000572
2015-01-14 00:00:00,BUY,2,20.0,2,50.0,7.9329359301,38.1997952378,12.2406820459,Yes,1.9948334694,NO_SOLUTION,,1.9335000515,2.0561668873
2015-01-20 00:00:00,SELL,2,20.0,2,50.0,46.0184112117,82.9746097924,79.9621966465,Yes,2.04808348415,NO_SOLUTION,,1.9971669912,2.0989999771
2015-01-28 00:00:00,BUY,2,20.0,2,50.0,10.6785865544,69.067117256,10.9413304645,Yes,2.114000082,NO_SOLUTION,,2.0298330784,2.1981670856
2015-02-04 00:00:00,SELL,2,20.0,2,50.0,53.5968493882,86.862208277,81.3558873367,Yes,2.0038330555,FAST_LOW,,2.0038330555,2.1010000706
2015-03-09 00:00:00,BUY,2,20.0,2,50.0,10.8923729298,47.9157162653,37.323723933,Yes,2.4883334637,NO_SOLUTION,,2.4626669884,2.513999939
2015-03-16 00:00:00,SELL,2,20.0,2,50.0,80.2899810119,92.5894894905,92.3774982906,Yes,2.4401669502,FAST_LOW,,2.4401669502,2.5336670876
2015-03-26 00:00:00,BUY,2,20.0,2,50.0,2.0330572312,3.4748371216,3.0056974615,Yes,2.125,FAST_HIGH,,1.9424999952,2.125
2015-03-30 00:00:00,SELL,2,20.0,2,50.0,56.7910910732,72.9088710542,71.5932402328,Yes,2.2630000114,FAST_LOW,,2.2630000114,2.3623330593
2015-04-27 00:00:00,BUY,2,20.0,2,50.0,16.3072295758,54.4694832164,31.6660660016,Yes,2.2798335552499998,NO_SOLUTION,,2.2346670628,2.3250000477
2015-05-04 00:00:00,SELL,2,20.0,2,50.0,61.5342512803,85.8678906882,70.798872753,Yes,2.3099999428,FAST_LOW,,2.3099999428,2.3803329468
2015-06-04 00:00:00,BUY,2,20.0,2,50.0,5.2682376656,12.7761655926,6.1995547869,Yes,2.6193330288,FAST_HIGH,,2.5306670666,2.6193330288
2015-06-11 00:00:00,SELL,2,20.0,2,50.0,58.3262981146,77.5851642135,63.7770582261,Yes,2.486000061,FAST_LOW,,2.486000061,2.5333330631
2015-06-16 00:00:00,BUY,2,20.0,2,50.0,8.7608171091,61.6655965276,51.485544844,Yes,2.41233348845,NO_SOLUTION,,2.3766670227,2.4479999542
